City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Namatanai,PG,85.64,overcast clouds,-3.67,152.43,Namatanai Hotel
10,Mogadishu,SO,78.76,moderate rain,2.04,45.34,Hotel Juba
13,Yulara,AU,84.2,scattered clouds,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
16,Vaini,TO,80.6,few clouds,-21.2,-175.2,Keleti Beach Resort
17,Atuona,PF,77.85,few clouds,-9.8,-139.03,Villa Enata
18,Hilo,US,84.2,broken clouds,19.73,-155.09,Hilo Hawaiian Hotel
21,Kousseri,CM,78.8,clear sky,12.08,15.03,Résidence le Palmier
22,Palauig,PH,80.89,light rain,15.44,119.9,Myhousebythesea
30,Nabire,ID,76.75,overcast clouds,-3.37,135.48,Hotel Nusantara Nabire
35,Itaituba,BR,89.6,few clouds,-4.28,-55.98,Hotel Campos
40,Vaitape,PF,80.13,overcast clouds,-16.52,-151.75,Conrad Bora Bora Nui
47,Hobyo,SO,80.33,light rain,5.35,48.53,Osmani Hotel
48,Ende,ID,81.01,overcast clouds,-8.84,121.66,Dwi Putra Hotel - Ende
50,Kapaa,US,82.4,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
51,Touros,BR,80.6,scattered clouds,-5.2,-35.46,INN NEW HORIZON
53,Acapulco,MX,86.0,few clouds,16.86,-99.89,HS Hotsson Smart Acapulco
54,Takoradi,GH,79.05,scattered clouds,4.88,-1.76,Raybow International Hotel
55,Atar,MR,81.84,clear sky,20.52,-13.05,Oumou Elghoura
57,Kavieng,PG,84.7,moderate rain,-2.57,150.8,Nusa Island Retreat
60,Chikwawa,MW,79.81,clear sky,-16.03,34.8,Thawale Lodge
64,Meulaboh,ID,75.52,moderate rain,4.14,96.13,Kost Pria
78,Kununurra,AU,78.8,clear sky,-15.77,128.73,Hotel Kununurra
81,Scottsbluff,US,80.6,clear sky,41.87,-103.67,Hampton Inn & Suites Scottsbluff-Conference Center
104,Coihueco,CL,77.0,clear sky,-36.62,-71.83,Frutillares Coihueco
106,Cabo San Lucas,MX,86.0,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
