City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bredasdorp,ZA,-34.53,20.04,68.0,82,96,5.82,light rain
1,Avarua,CK,-21.21,-159.78,75.2,83,93,9.17,overcast clouds
2,Albany,US,42.6,-73.97,41.0,62,89,3.0,overcast clouds
3,Zhanaozen,KZ,43.3,52.8,64.4,23,100,14.16,overcast clouds
4,Ayagoz,KZ,47.97,80.44,28.11,97,0,8.93,clear sky
5,Istanbul,TR,41.04,28.98,57.2,93,75,3.36,broken clouds
6,Kanor,IN,24.43,74.27,66.99,27,0,3.18,clear sky
7,Puerto Colombia,CO,10.99,-74.95,91.4,59,40,5.82,scattered clouds
8,Lagoa,PT,39.05,-27.98,61.52,71,13,21.63,few clouds
9,Luwuk,ID,-0.95,122.79,77.27,75,100,2.24,overcast clouds
10,Saint-Philippe,RE,-21.36,55.77,73.4,56,90,9.17,overcast clouds
11,Nouadhibou,MR,20.93,-17.03,73.4,64,4,16.11,clear sky
12,Puerto Ayora,EC,-0.74,-90.35,77.0,73,75,12.75,broken clouds
13,Kapaa,US,22.08,-159.32,82.4,78,90,10.29,haze
14,Lompoc,US,34.64,-120.46,68.0,63,1,3.36,clear sky
15,Butaritari,KI,3.07,172.79,80.73,73,51,17.83,broken clouds
16,Bluff,NZ,-46.6,168.33,51.01,93,10,1.01,clear sky
17,Codrington,AU,-38.27,141.97,57.74,95,100,8.84,light rain
18,Busselton,AU,-33.65,115.33,48.99,73,0,10.83,clear sky
19,San Cristobal,VE,7.77,-72.22,86.0,66,40,12.75,scattered clouds
20,Vaini,TO,-21.2,-175.2,77.0,83,20,10.29,few clouds
21,Ushuaia,AR,-54.8,-68.3,53.6,62,75,3.36,broken clouds
22,Bikin,RU,46.82,134.26,20.3,81,67,10.31,broken clouds
23,Opuwo,NA,-18.06,13.84,72.21,24,0,9.15,clear sky
24,Hobart,AU,-42.88,147.33,70.0,46,75,14.99,broken clouds
25,Jamestown,US,42.1,-79.24,50.0,70,20,11.41,few clouds
26,Vila Do Maio,CV,15.13,-23.22,82.4,48,0,16.11,clear sky
27,Hasaki,JP,35.73,140.83,51.8,62,75,11.41,broken clouds
28,Khatanga,RU,71.97,102.5,2.62,94,90,4.27,overcast clouds
